"Type","Status","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Domestic Residence & Permissions applications","Received","Madagascar","*","*","0","*","*","*","0","*"
"Domestic Residence & Permissions applications","Received","Malawi","105","189","168","132","174","348","165","101"
"Domestic Residence & Permissions applications","Received","Malaysia","340","328","384","192","270","688","446","296"
"Domestic Residence & Permissions applications","Received","Maldives","0","0","0","*","0","*","*","0"
"Domestic Residence & Permissions applications","Received","Mali","0","0","0","*","*","*","*","*"
"Domestic Residence & Permissions applications","Received","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Martinique","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Mauritania","0","*","0","*","*","0","*","0"
"Domestic Residence & Permissions applications","Received","Mauritius","379","417","169","96","56","330","117","80"
"Domestic Residence & Permissions applications","Received","Mayotte","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Melilla","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Mexico","43","67","88","84","124","179","263","245"
"Domestic Residence & Permissions applications","Received","Micronesia (Federated States of)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Moldova (the Republic of)","18","14","8","11","8","33","22","18"
"Domestic Residence & Permissions applications","Received","Monaco","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Mongolia","64","61","86","27","43","237","93","98"
"Domestic Residence & Permissions applications","Received","Montenegro","0","0","*","0","*","0","0","0"
"Domestic Residence & Permissions applications","Received","Montserrat","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Morocco","25","37","43","44","76","173","252","195"
"Domestic Residence & Permissions applications","Received","Mozambique","0","*","*","0","*","6","*","4"
"Domestic Residence & Permissions applications","Received","Myanmar","4","36","18","11","7","9","18","16"
"Domestic Residence & Permissions applications","Received","Namibia","*","*","0","*","0","*","7","8"
"Domestic Residence & Permissions applications","Received","Nauru","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Nepal","77","91","65","44","54","168","105","104"
"Domestic Residence & Permissions applications","Received","New Caledonia","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","New Zealand","51","52","40","25","20","42","28","27"
"Domestic Residence & Permissions applications","Received","Nicaragua","*","*","8","6","9","24","53","54"
"Domestic Residence & Permissions applications","Received","Niger (the)","0","0","*","0","0","*","7","*"
"Domestic Residence & Permissions applications","Received","Nigeria","432","647","672","580","1006","1958","2089","2753"
"Domestic Residence & Permissions applications","Received","Niue","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Norfolk Island","0","0","0","0","0","0","0","0"
